"","Genus","Kingdom","Phylum","Class","Order","Family","Species","OTU","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource"
"691","Geminibasidium","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae",NA,"d02305a1884e98969c25e926184f1e25","5547D936-ED71-4741-AEEA-7B6B1294BA58","801333","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"692","Geminibasidium","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae",NA,"f5edf27fe42bdd12d04c0038b02d9663","5547D936-ED71-4741-AEEA-7B6B1294BA58","801333","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"693","Geminibasidium","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae",NA,"b0800d0e75508702cf993850b8acb0c8","5547D936-ED71-4741-AEEA-7B6B1294BA58","801333","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"694","Geminibasidium","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae",NA,"3d192edade33bd50cdfd9ca9b0de7b8c","5547D936-ED71-4741-AEEA-7B6B1294BA58","801333","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"695","Geminibasidium","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae",NA,"ed6a48d5ad5461fcb8beb8d40d29ba63","5547D936-ED71-4741-AEEA-7B6B1294BA58","801333","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"696","Geminibasidium","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae",NA,"1842b93d7b98f3df8bf1ff404d9b68e6","5547D936-ED71-4741-AEEA-7B6B1294BA58","801333","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"697","Geminibasidium","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae",NA,"f60021b219446fef6d9a3bb2c7af04bd","5547D936-ED71-4741-AEEA-7B6B1294BA58","801333","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"698","Geminibasidium","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","s__unidentified","9ee82a27049be7c4f200c75227902f4c","5547D936-ED71-4741-AEEA-7B6B1294BA58","801333","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"699","Geminibasidium","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","s__unidentified","bc0f31a8efdb70fe818bccff1be10cca","5547D936-ED71-4741-AEEA-7B6B1294BA58","801333","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"700","Geomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","s__Geomyces_auratus","2cf3490a91fe3a6a4a1a6d94e4653dc6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","Geomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","s__Geomyces_auratus","b0f669a87f83e8647d7b030e9ccc292d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","Geomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","s__Geomyces_auratus","0e4d06bb3a1fed78167403dc1ab0f45c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","Geomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","s__Geomyces_auratus","315774bb4116e59e3bd56fa026b2e272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","91d84ff4b424bd4e15d3d17d08059140","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"705","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae",NA,"0e7827688d7cbe432bd43e27a6abc883","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"706","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","04d40a7e0ffc5e4469df7bb89cc0ca05","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"707","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","8e79ce0cb449081bcc2be307305bf4e6","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"708","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","a9f93ab3a69df7c6853f644c9421d8d1","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"709","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae",NA,"38a883a449f81c90d236cce0022d023d","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"710","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","daf5de212376e2eefeb3df9f160d7b69","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"711","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","65dc8bb69b9c6371ff2de1a58948c931","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"712","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae",NA,"eb3a45bbee0c9b83f2dc412b0f6c71da","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"713","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","57e56dab5f142dc8f0032120eba18ded","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"714","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","038ae7711af1c68adf314869983579f5","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"715","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae",NA,"a68a4d5ed2b7c895e93eefa342fc0023","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"716","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","c74536b5c773253d87bbe6881c539022","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"717","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae",NA,"d6a28def3a31df8064fd948fe6950a65","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"718","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","a93effde3abdbb54424c0678a0208626","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"719","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","cd2a3004b4e5e8aa2a202e656898b2f4","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"720","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","d82fbc7edb6646d925b2b257a426c27f","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"721","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae",NA,"12aa8718fd6260ed13c815c306e7ead5","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"722","Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__unidentified","28ebc130500d24c6fef492d5e9e54bc0","1CB1C75D-36B9-11D5-9548-00D0592D548C","2051","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","NULL","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"723","Gilkeya","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__Gilkeya_compacta","d37944e574b9b0e0fb86426a128f83aa","C4DC99CB-1A0D-4331-894A-862B50B92160","28998","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","Gasteroid","Hypogeous","Common name - false truffle","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x))"
"724","Gilkeya","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__Gilkeya_compacta","a561e91a46dda782afb2425f1a69db17","C4DC99CB-1A0D-4331-894A-862B50B92160","28998","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","Gasteroid","Hypogeous","Common name - false truffle","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x))"
"725","Gomphidius","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Gomphidiaceae",NA,"3bbcc5fc7418db54c312e21f5c753656","1CB1C772-36B9-11D5-9548-00D0592D548C","17684","Genus","Pathotroph-Symbiotroph","Ectomycorrhizal","Probable","NULL","NULL","More likely mycoparasite on suilloid fungi; could also be ECM","Agerer R. 1991. Nova Hedwigia 53:127-170; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html));"
"726","Gomphidius","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Gomphidiaceae",NA,"0b9aba29f2ff40fae4a6ca310999825d","1CB1C772-36B9-11D5-9548-00D0592D548C","17684","Genus","Pathotroph-Symbiotroph","Ectomycorrhizal","Probable","NULL","NULL","More likely mycoparasite on suilloid fungi; could also be ECM","Agerer R. 1991. Nova Hedwigia 53:127-170; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html));"
"727","Gymnopilus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae",NA,"96db6b1f8bdb7e335bcffc5b7b1bfb14","1CB18C29-36B9-11D5-9548-00D0592D548C","17702","Genus","Saprotroph","Saprotroph","Probable","Agaricoid","White Rot","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"728","Gymnopilus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae",NA,"42d3807ed106d8303adac6e3f11c5091","1CB18C29-36B9-11D5-9548-00D0592D548C","17702","Genus","Saprotroph","Saprotroph","Probable","Agaricoid","White Rot","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"729","Gymnopilus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae",NA,"803b599bbf165f4bd813f716a32cbc36","1CB18C29-36B9-11D5-9548-00D0592D548C","17702","Genus","Saprotroph","Saprotroph","Probable","Agaricoid","White Rot","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"730","Gymnopus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae",NA,"02d6729b71bf0b84e888a033d50b3a67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"731","Gymnopus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae",NA,"e422d1b53ab72ae2c6204b940b0a11fb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"fdd562df6d002b05541ae5c539548e98","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"733","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"32801b54affc98300a8ba9b1490d9da5","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"734","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"59b308c8f550f4161d71509d768dbef4","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"735","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"800dfa7ae7204f59b8d742aad6eca11f","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"736","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"630377ced9899bd876165fed6273fa3d","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"737","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"0aa1045c444ce999d3c2c9e69cee995d","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"738","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"945a707461df3dc111b18d06f50d0ede","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"739","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"a62e6cbabb9bdb372f704644e1626005","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"740","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"97ed172dfd4fd71217cc1be66d4a8bcd","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"741","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"77f933bc2d3b8edb50b117d6ac909254","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"742","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"c321e360398df47867f74808a8d6c38d","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"743","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"1b890b3fc5c53a1c96389e021b1a0f2e","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"744","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"f39bfbb7107246b288afa8f42f22290b","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"745","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"8b0676f55b6b399ac53b6420a0d9df56","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"746","Gymnostellatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,"32e0c96e06dc376a0a2be54b186ab8b0","BAFBCACE-FC4F-4A46-9898-E3DA7D690A0D","26464","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"747","Halokirschsteiniothelia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mytilinidiales","f__Mytilinidiales_fam_Incertae_sedis","s__Halokirschsteiniothelia_maritima","8da3a9340d0599720293e3e8a1fd00f1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748","Halokirschsteiniothelia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mytilinidiales","f__Mytilinidiales_fam_Incertae_sedis","s__Halokirschsteiniothelia_maritima","60f6c81767ecebe4037a53bcb18240a5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
